id,Saleprice
2,103694.57190279385
4,275142.91112512496
6,198014.17955965374
7,213809.16261713428
17,217710.97681790777
18,310508.0506600971
22,208174.58711711713
27,111885.05531134801
31,87722.06539440792
36,141162.94048952288
39,358849.71401805856
40,232418.3157346793
42,304100.4166411652
46,215634.2462355891
53,173017.31722656835
58,179984.7345560815
61,294192.306574994
72,227768.40633531407
79,118551.41458331853
80,215618.5209436093
82,162365.76003556105
83,87829.82613831459
85,158928.7461354656
88,121244.00441405007
92,269549.7865444264
93,280681.56252440606
95,188903.12875366703
102,167392.46365354312
103,167688.8780734013
106,256412.51939482056
107,160981.20019299598
110,238426.52570505452
114,211949.1183711552
116,194693.0698751247
117,162640.5424127182
118,144150.21127785314
125,160840.06462980775
126,171509.13398515296
127,144999.81525530794
128,189749.38660479424
134,136654.520802292
135,192590.53406595785
137,281649.1416085169
143,141065.49172473705
147,128221.39586355803
148,169208.49512416223
150,118937.57841222543
156,145642.5773700338
157,128217.25602724562
159,132471.57744332866
161,263116.58272971737
167,132055.4605018278
170,120509.27450214508
171,97926.26606149206
175,94209.62061923825
179,121681.01249206
181,108994.63812623959
186,207603.0112255618
193,189212.54358567082
194,81508.26072060117
206,95687.47085748932
208,145458.63408170585
210,159860.7081529765
211,93944.76862572564
212,106880.90183955953
214,82521.44740832284
215,135289.80439336222
217,128911.14530422991
222,153214.25915083388
227,138909.20845793412
228,157190.1337974052
233,249713.87476960398
235,136569.44323386083
238,139267.28043175538
241,181023.11877679863
252,185020.57734009574
253,184175.0210797006
256,158104.6081345596
257,136452.87483938524
258,195329.29278266925
259,182874.05579702515
261,158085.4376952165
263,121932.0730930105
266,232596.88336620523
267,216166.33750324015
270,134018.3650711507
271,258880.56908836236
276,95824.42570252673
285,155475.75938457917
288,78026.17026107066
289,146946.0714794136
290,125337.2704531001
291,108087.11674520237
292,113015.61850358488
293,186498.551933191
294,223390.14308674834
295,177972.42564659723
304,113708.6581637628
322,339797.1920318399
326,157951.80754001715
327,92042.11248886008
328,121778.38576968154
331,74606.98339913374
332,77383.40755382001
333,91310.22793748764
335,143591.29689708404
337,157567.33457511725
342,114657.52432542219
343,174738.37664534384
347,184202.39689990826
350,330966.00320941734
352,224973.4121139871
358,195495.34497916754
359,183504.4705977434
360,155264.18323924963
368,294823.7621146874
369,253255.65119665742
373,186874.8117443527
377,266908.9852031003
383,187018.26901926612
386,238133.26352539397
387,250106.38439747883
390,166334.49504077024
391,157641.55248384556
395,165018.03275678572
397,137510.27412344146
398,110028.24050216003
401,106776.38563420702
404,109437.28667296862
408,110808.1460142845
409,131124.6970273151
410,145334.88515018034
418,118526.44636684417
422,409605.81838126975
427,307478.89358758583
431,385856.202481272
433,506405.17401017144
437,371836.67355785833
438,266666.79585784796
442,331469.6733697456
447,202129.6295167274
459,308302.9530693603
460,247887.0542026239
464,177016.97781651508
465,191680.5062448841
467,180615.05583879992
468,193131.50288269718
474,174232.33409777112
480,199076.4038928719
481,206674.17816588972
483,201894.1092504293
488,178828.67167678574
492,192428.65559384902
494,175077.20609625016
499,301094.5274221167
500,243227.173646997
501,301772.6020737005
503,240295.50994391573
506,253668.0753319783
508,244218.69326867838
511,285310.5314066274
515,241218.63335482808
519,235242.29892471057
521,284986.77582407306
530,238454.0261290239
532,234300.40349775058
534,179868.2860878226
540,165217.02240816783
541,131634.0730222667
551,170503.89211483262
552,145101.11389693734
554,83619.65780563481
555,115640.20549942098
556,117213.16011670009
557,112640.09693489257
565,247608.10404892123
566,253768.94107914052
567,157442.14345423586
569,211230.377643802
570,187461.3860910546
574,214250.1960047644
575,351811.6354381214
576,204106.53116923428
577,217251.78113027365
578,198778.4019581421
583,228598.79163650662
584,228885.95669287996
585,159393.62826974894
587,215105.47233030954
593,228041.90166725987
597,208389.27656412421
598,186419.87258161473
599,153590.74726358417
600,117314.5324232015
605,165189.31285030305
607,172928.1626402647
608,143893.17990276314
611,175194.88513546987
616,117967.14939997855
625,173973.60234350967
629,152883.2005910415
630,130878.88196217913
631,141093.9512065853
640,170342.3329319489
642,151156.209446319
643,141127.36478079107
646,103079.88820261719
647,156342.19820228274
655,83065.60537085783
659,122037.03720393532
663,58333.989135544034
665,107336.10740908718
667,186863.0504185096
673,142919.96794022902
676,136295.89816838515
680,150861.84843925294
682,128186.9491914394
687,141897.02262033953
688,146075.19436840634
692,120552.03782625738
693,112426.71098300382
695,135221.5028516906
697,137928.89312618377
700,126044.17666820953
702,122807.26175306228
703,143067.3793913185
704,95070.0185390521
712,98227.51665731128
713,98342.96246456583
717,203262.2445613272
720,216726.16027204692
721,71793.47177568986
726,149935.33198097168
733,106246.53863413265
736,132193.47406972616
738,102706.53487896672
741,120886.88121041228
743,51351.514339088775
745,105233.80140622953
750,142880.85814982676
756,98792.07505861435
757,127034.32797590148
758,124003.17789510127
760,96907.67953049052
765,155546.29105047238
775,120350.88690309557
776,123377.68367717297
780,161384.03106058866
783,242633.95777308263
790,123789.79295370389
795,67446.1071797379
796,140924.841745609
797,145328.91301652612
798,125234.06316679936
804,205814.56050510175
805,238656.64559983983
806,250116.53642613202
808,111184.89976418398
814,152377.37723475348
818,262698.66417296004
821,282406.8562306111
822,331394.820592446
825,293332.7154743663
827,237331.22023111713
830,199196.1001803348
834,252763.19726661127
835,197516.2716460888
842,129067.44220424844
845,216472.57642433225
852,219135.49607811455
857,131823.5788301702
858,159698.54683346138
859,129657.9600984924
860,113669.97575987772
861,129448.24435518362
864,261814.92903365314
868,190234.9687720298
869,201755.2076014976
872,291470.696596361
873,216900.9991713293
885,101080.58541447834
890,128954.66241761563
895,95376.38838601894
899,63419.38714513907
906,106296.19817236571
918,149824.68145759095
923,126755.29105154115
925,125281.1694997294
927,130309.53425795953
932,188915.7968511859
933,100092.93784088005
934,135643.24276904593
942,89846.21570763126
947,257479.05418075854
948,260256.83330706885
951,142852.78220867188
957,353532.6072207646
958,338804.28255147376
959,211369.6384696224
963,198213.7526234651
967,207316.35662415408
968,349926.7267308154
971,125524.41231125683
972,151220.93760497487
976,97319.94520436644
978,78778.42339987017
979,93016.81776686895
984,104904.60460138957
986,153495.4190120804
991,219397.17945036266
996,204428.26249858018
1001,251320.07101486626
1007,197977.1954981173
1008,191039.1049510196
1009,206363.07965640316
1014,152133.98293954512
1022,230899.9638942101
1024,176303.46057936555
1027,129742.940179204
1030,164634.70631727495
1032,156596.6475091141
1035,159308.87592523725
1042,93932.80872529332
1047,141338.5939682597
1050,110665.75440794174
1055,260148.29661472744
1059,424466.2901471926
1061,367598.70820402383
1064,462514.13020396524
1077,213142.3723102765
1081,223163.9008177798
1092,222648.9144714712
1093,188621.71338027532
1095,224352.73548135348
1099,240446.77760337558
1101,295854.2163729333
1103,311338.61363112065
1109,252905.96868492974
1112,210519.28704307257
1113,255807.0072377958
1114,246168.07833682117
1116,252113.85657137985
1117,210363.94084440367
1119,269913.41654321546
1121,228061.22312854318
1122,204051.93093893793
1125,253608.26830437992
1137,165211.9598189694
1142,206682.76277697
1144,194464.03194953644
1145,201276.35672666345
1147,184048.36314281297
1148,197380.9548017141
1149,166935.8063198983
1150,127721.89809560507
1153,99791.6279619985
1154,108493.41878612622
1159,363153.6013728753
1161,160578.12415975475
1167,154448.66170064893
1171,288299.1938202683
1174,172373.31502064186
1188,183186.86434677607
1189,190469.74909823184
1191,151993.9561828747
1195,129375.760516178
1199,184091.97718158833
1201,192781.0947800515
1204,183206.88911760514
1211,150541.56861715802
1214,164686.58603568893
1219,153549.5055941856
1220,60262.84906484964
1227,197464.67680359707
1229,227152.1000322997
1231,134897.0222782891
1234,226884.3343909739
1235,132400.3583008898
1239,176769.52234346548
1240,163980.04757112672
1241,169806.42691608134
1246,119449.00628500349
1249,174653.2132866617
1250,125013.77583356776
1252,116569.97328244534
1259,136356.34089806996
1267,121754.79377281747
1269,88841.52180493769
1270,136030.54662903032
1272,118624.85769662009
1274,134230.84044447486
1276,112029.47465650534
1279,140844.31285864668
1281,164667.88817393652
1286,148810.4666355458
1287,120822.93418990444
1290,76522.86293892634
1291,138101.3942293787
1297,143897.26759753967
1302,128050.31479533974
1303,50622.26900504697
1312,108122.87861234795
1315,129120.29505413113
1322,63977.66236983522
1327,102999.10195193408
1331,140187.5965781379
1333,116023.46819276005
1334,126198.53647484796
1336,111980.34011932887
1341,130232.61071024994
1344,74043.62837677335
1347,123293.61412335683
1348,146648.66258036418
1353,173502.57723061758
1355,132198.91723590225
1356,129977.33472435607
1357,161899.03763879978
1361,130057.88887162013
1364,127293.02994815537
1368,111645.29501464957
